 Year Mon  Area
 1974  2   11.8
 1974  3   58.6
 1974  4   22.6
 1974  5   22.3
 1974  6   92.6
 1974  7    0.1
 1974  8   64.9
 1974  9  408.2
 1974 10  393.2
 1974 11  299.4
 1974 12  240.3
 1975  1  135.9
 1975  2   68.3
 1975  3    9.2
 1975  4   16.6
 1975  5    0.6
 1975  6   84.6
 1975  7  222.2
 1975  8  672.9
 1975  9   34.0
 1975 10  113.8
 1975 11   78.4
 1975 12   26.9
 1976  1    0.0
 1976  2    0.0
 1976  3  134.2
 1976  4  168.3
 1976  5   40.9
 1976  6   41.9
 1976  7    2.3
 1976  8  257.3
 1976  9  114.7
 1976 10  103.2
 1976 11   91.5
 1976 12  185.9
 1977  1   60.1
 1977  2   58.0
 1977  3   33.9
 1977  4    5.1
 1977  5   93.9
 1977  6  314.1
 1977  7  168.2
 1977  8  219.3
 1977  9  705.6
 1977 10  458.8
 1977 11  188.5
 1977 12  230.1
 1978  1  299.0
 1978  2 1559.8
 1978  3  882.7
 1978  4 1260.7
 1978  5 1030.7
 1978  6  762.7
 1978  7  693.9
 1978  8  203.2
 1978  9 1370.6
 1978 10  639.9
 1978 11  642.3
 1978 12  908.0
 1979  1 1278.8
 1979  2 1365.7
 1979  3  793.1
 1979  4 1183.2
 1979  5 1302.6
 1979  6 1647.1
 1979  7 1109.3
 1979  8 1166.7
 1979  9 1687.6
 1979 10 2093.4
 1979 11 1415.2
 1979 12  436.1
 1980  1 1055.6
 1980  2  987.2
 1980  3  519.6
 1980  4 1346.8
 1980  5  554.6
 1980  6  511.5
 1980  7  626.8
 1980  8  887.0
 1980  9 1217.1
 1980 10 1086.4
 1980 11 1428.5
 1980 12  981.8
 1981  1  532.9
 1981  2 1244.0
 1981  3 1330.7
 1981  4 1933.9
 1981  5 1512.7
 1981  6  624.9
 1981  7  577.8
 1981  8  825.3
 1981  9 1590.6
 1981 10  649.1
 1981 11  774.9
 1981 12 1342.2
 1982  1  685.1
 1982  2 1414.5
 1982  3 1909.0
